Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Possibly Extinct,Regionally Extinct,Reintroduced,Introduced,Vagrant,Present origin uncertain
"Sand Cat, Sand Dune Cat ",NT,8541,Felis margarita,MAMMALIA,unknown,"Algeria: 28.03389 1.65963, Egypt: 26.82055 30.80250, Iran: 32.42791 53.68805, Israel: 31.04605 34.85161, Jordan: 30.58516 36.23841, Kazakhstan: 48.01957 66.92368, Kuwait: 29.31166 47.48177, Mauritania: 21.00789 -10.94083, Morocco: 31.79170 -7.09262, Niger: 17.60779 8.08167, Oman: 21.51258 55.92325, Pakistan: 30.37532 69.34512, Saudi Arabia: 23.88594 45.07916, Syria: 34.80208 38.99681, Turkmenistan: 38.96972 59.55628, United Arab Emirates: 23.42408 53.84782, Uzbekistan: 41.37749 64.58526, Western Sahara: 24.21553 -12.88583, Yemen: 15.55273 48.51639 ",,,,,,
"Fanaloka, Malagasy Civet, Striped Civet ",NT,8668,Fossa fossana,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911 ,,,,,,
Seychelles Fody ,NT,106008577,Foudia sechellarum,AVES,increasing,Seychelles: -4.67957 55.49198 ,,,,,,
"Blue Chaffinch, Canary Islands Chaffinch, Teydefinch ",NT,106008756,Fringilla teydea,AVES,increasing,"Spain: 40.46367 -3.74922, Spain: 40.46367 -3.74922 ",,,,,,
"Bleeding Heart Dove, Bleeding Heart Pigeon, Luzon Bleeding-heart ",NT,106002605,Gallicolumba luzonica,AVES,decreasing,Philippines: 12.87972 121.77402 ,,,,,,
"White-throated Ground-dove, White-throated Ground Dove, White-throated Ground-Dove ",NT,106002615,Gallicolumba xanthonura,AVES,decreasing,"Guam: 13.44430 144.79373, Micronesia: 6.88746 158.21507, Northern Mariana Islands: 15.09790 145.67390 ",,,,,,
Great Snipe ,NT,106002989,Gallinago media,AVES,decreasing,"Albania: 41.15333 20.16833, Algeria: 28.03389 1.65963, Angola: -11.20269 17.87389, Armenia: 40.06910 45.03819, Azerbaijan: 40.14310 47.57693, Bahrain: 26.06670 50.55770, Belarus: 53.70981 27.95339, Benin: 9.30769 2.31583, Bosnia and Herzegovina: 43.91589 17.67908, Botswana: -22.32847 24.68487, Bulgaria: 42.73388 25.48583, Burkina Faso: 12.23833 -1.56159, Burundi: -3.37306 29.91889, Cameroon: 7.36972 12.35472, Central African Republic: 6.61111 20.93944, Chad: 15.45417 18.73221, Congo: -0.22802 15.82766, Democratic Republic of the Congo: -4.03833 21.75866, Albania: 41.15333 20.16833, Algeria: 28.03389 1.65963, Angola: -11.20269 17.87389, Armenia: 40.06910 45.03819, Azerbaijan: 40.14310 47.57693, Bahrain: 26.06670 50.55770, Belarus: 53.70981 27.95339, Benin: 9.30769 2.31583, Bosnia and Herzegovina: 43.91589 17.67908, Botswana: -22.32847 24.68487, Bulgaria: 42.73388 25.48583, Burkina Faso: 12.23833 -1.56159, Burundi: -3.37306 29.91889, Cameroon: 7.36972 12.35472, Central African Republic: 6.61111 20.93944, Chad: 15.45417 18.73221, Congo: -0.22802 15.82766, Democratic Republic of the Congo: -4.03833 21.75866, Name not unicode cant write Croatia: 45.10000 15.20000, Cyprus: 35.12641 33.42986, Czech Republic: 49.81749 15.47296, Denmark: 56.26392 9.50178, Egypt: 26.82055 30.80250, Eritrea: 15.17938 39.78233, Estonia: 58.59527 25.01361, Ethiopia: 9.14500 40.48967, Finland: 61.92411 25.74815, France: 46.22764 2.21375, Gabon: -0.80369 11.60944, The Gambia: 13.44318 -15.31014, Albania: 41.15333 20.16833, Algeria: 28.03389 1.65963, Angola: -11.20269 17.87389, Armenia: 40.06910 45.03819, Azerbaijan: 40.14310 47.57693, Bahrain: 26.06670 50.55770, Belarus: 53.70981 27.95339, Benin: 9.30769 2.31583, Bosnia and Herzegovina: 43.91589 17.67908, Botswana: -22.32847 24.68487, Bulgaria: 42.73388 25.48583, Burkina Faso: 12.23833 -1.56159, Burundi: -3.37306 29.91889, Cameroon: 7.36972 12.35472, Central African Republic: 6.61111 20.93944, Chad: 15.45417 18.73221, Congo: -0.22802 15.82766, Democratic Republic of the Congo: -4.03833 21.75866, Name not unicode cant write Croatia: 45.10000 15.20000, Cyprus: 35.12641 33.42986, Czech Republic: 49.81749 15.47296, Denmark: 56.26392 9.50178, Egypt: 26.82055 30.80250, Eritrea: 15.17938 39.78233, Estonia: 58.59527 25.01361, Ethiopia: 9.14500 40.48967, Finland: 61.92411 25.74815, France: 46.22764 2.21375, Gabon: -0.80369 11.60944, The Gambia: 13.44318 -15.31014, Too many markers for Georgia Germany: 51.16569 10.45153, Ghana: 7.94653 -1.02319, Greece: 39.07421 21.82431, Guinea: 9.94559 -9.69665, Guinea-Bissau: 11.80375 -15.18041, Hungary: 47.16249 19.50330, Iran: 32.42791 53.68805, Iraq: 33.22319 43.67929, Israel: 31.04605 34.85161, Italy: 41.87194 12.56738, Kazakhstan: 48.01957 66.92368, Kenya: -0.02356 37.90619, Kuwait: 29.31166 47.48177, Kyrgyzstan: 41.20438 74.76610, Latvia: 56.87964 24.60319, Too many markers for Lebanon Liberia: 6.42805 -9.42950, Libya: 26.33510 17.22833, Lithuania: 55.16944 23.88127, Macedonia (FYROM): 41.60863 21.74527, Malawi: -13.25431 34.30152, Mali: 17.57069 -3.99617, Malta: 35.93750 14.37542, Mauritania: 21.00789 -10.94083, Moldova: 47.41163 28.36989, Montenegro: 42.70868 19.37439, Mozambique: -18.66569 35.52956, Namibia: -22.95764 18.49041, Nigeria: 9.08200 8.67528, Norway: 60.47202 8.46895, West Bank: 31.94657 35.30272, Poland: 51.91944 19.14514, Romania: 45.94316 24.96676, Russian Federation: 61.52401 105.31876, Russian Federation: 61.52401 105.31876, Russian Federation: 61.52401 105.31876, Rwanda: -1.94028 29.87389, Saudi Arabia: 23.88594 45.07916, Senegal: 14.49740 -14.45236, Serbia: 44.01652 21.00586, Sierra Leone: 8.46055 -11.77989, Slovakia: 48.66903 19.69902, Slovenia: 46.15124 14.99546, South Africa: -30.55948 22.93751, South Sudan: 7.96309 30.15893, Sudan: 12.86281 30.21764, Sweden: 60.12816 18.64350, Syria: 34.80208 38.99681, Tanzania: -6.36903 34.88882, Togo: 8.61954 0.82478, Tunisia: 33.88692 9.53750, Turkey: 38.96375 35.24332, Turkmenistan: 38.96972 59.55628, Uganda: 1.37333 32.29028, Ukraine: 48.37943 31.16558, Uzbekistan: 41.37749 64.58526, Zambia: -13.13390 27.84933, Zimbabwe: -19.01544 29.15486 ;; Croatia: 45.10000 15.20000, Cyprus: 35.12641 33.42986, Czech Republic: 49.81749 15.47296, Denmark: 56.26392 9.50178, Egypt: 26.82055 30.80250, Eritrea: 15.17938 39.78233, Estonia: 58.59527 25.01361, Ethiopia: 9.14500 40.48967, Finland: 61.92411 25.74815, France: 46.22764 2.21375, Gabon: -0.80369 11.60944, The Gambia: 13.44318 -15.31014, Albania: 41.15333 20.16833, Algeria: 28.03389 1.65963, Angola: -11.20269 17.87389, Armenia: 40.06910 45.03819, Azerbaijan: 40.14310 47.57693, Bahrain: 26.06670 50.55770, Belarus: 53.70981 27.95339, Benin: 9.30769 2.31583, Bosnia and Herzegovina: 43.91589 17.67908, Botswana: -22.32847 24.68487, Bulgaria: 42.73388 25.48583, Burkina Faso: 12.23833 -1.56159, Burundi: -3.37306 29.91889, Cameroon: 7.36972 12.35472, Central African Republic: 6.61111 20.93944, Chad: 15.45417 18.73221, Congo: -0.22802 15.82766, Democratic Republic of the Congo: -4.03833 21.75866, Albania: 41.15333 20.16833, Algeria: 28.03389 1.65963, Angola: -11.20269 17.87389, Armenia: 40.06910 45.03819, Azerbaijan: 40.14310 47.57693, Bahrain: 26.06670 50.55770, Belarus: 53.70981 27.95339, Benin: 9.30769 2.31583, Bosnia and Herzegovina: 43.91589 17.67908, Botswana: -22.32847 24.68487, Bulgaria: 42.73388 25.48583, Burkina Faso: 12.23833 -1.56159, Burundi: -3.37306 29.91889, Cameroon: 7.36972 12.35472, Central African Republic: 6.61111 20.93944, Chad: 15.45417 18.73221, Congo: -0.22802 15.82766, Democratic Republic of the Congo: -4.03833 21.75866, Name not unicode cant write Croatia: 45.10000 15.20000, Cyprus: 35.12641 33.42986, Czech Republic: 49.81749 15.47296, Denmark: 56.26392 9.50178, Egypt: 26.82055 30.80250, Eritrea: 15.17938 39.78233, Estonia: 58.59527 25.01361, Ethiopia: 9.14500 40.48967, Finland: 61.92411 25.74815, France: 46.22764 2.21375, Gabon: -0.80369 11.60944, The Gambia: 13.44318 -15.31014, Albania: 41.15333 20.16833, Algeria: 28.03389 1.65963, Angola: -11.20269 17.87389, Armenia: 40.06910 45.03819, Azerbaijan: 40.14310 47.57693, Bahrain: 26.06670 50.55770, Belarus: 53.70981 27.95339, Benin: 9.30769 2.31583, Bosnia and Herzegovina: 43.91589 17.67908, Botswana: -22.32847 24.68487, Bulgaria: 42.73388 25.48583, Burkina Faso: 12.23833 -1.56159, Burundi: -3.37306 29.91889, Cameroon: 7.36972 12.35472, Central African Republic: 6.61111 20.93944, Chad: 15.45417 18.73221, Congo: -0.22802 15.82766, Democratic Republic of the Congo: -4.03833 21.75866, Name not unicode cant write Croatia: 45.10000 15.20000, Cyprus: 35.12641 33.42986, Czech Republic: 49.81749 15.47296, Denmark: 56.26392 9.50178, Egypt: 26.82055 30.80250, Eritrea: 15.17938 39.78233, Estonia: 58.59527 25.01361, Ethiopia: 9.14500 40.48967, Finland: 61.92411 25.74815, France: 46.22764 2.21375, Gabon: -0.80369 11.60944, The Gambia: 13.44318 -15.31014, Too many markers for Georgia Germany: 51.16569 10.45153, Ghana: 7.94653 -1.02319, Greece: 39.07421 21.82431, Guinea: 9.94559 -9.69665, Guinea-Bissau: 11.80375 -15.18041, Hungary: 47.16249 19.50330, Iran: 32.42791 53.68805, Iraq: 33.22319 43.67929, Israel: 31.04605 34.85161, Italy: 41.87194 12.56738, Kazakhstan: 48.01957 66.92368, Kenya: -0.02356 37.90619, Kuwait: 29.31166 47.48177, Kyrgyzstan: 41.20438 74.76610, Latvia: 56.87964 24.60319, Too many markers for Lebanon Liberia: 6.42805 -9.42950, Libya: 26.33510 17.22833, Lithuania: 55.16944 23.88127, Macedonia (FYROM): 41.60863 21.74527, Malawi: -13.25431 34.30152, Mali: 17.57069 -3.99617, Malta: 35.93750 14.37542, Mauritania: 21.00789 -10.94083, Moldova: 47.41163 28.36989, Montenegro: 42.70868 19.37439, Mozambique: -18.66569 35.52956, Namibia: -22.95764 18.49041, Nigeria: 9.08200 8.67528, Norway: 60.47202 8.46895, West Bank: 31.94657 35.30272, Poland: 51.91944 19.14514, Romania: 45.94316 24.96676, Russian Federation: 61.52401 105.31876, Russian Federation: 61.52401 105.31876, Russian Federation: 61.52401 105.31876, Rwanda: -1.94028 29.87389, Saudi Arabia: 23.88594 45.07916, Senegal: 14.49740 -14.45236, Serbia: 44.01652 21.00586, Sierra Leone: 8.46055 -11.77989, Slovakia: 48.66903 19.69902, Slovenia: 46.15124 14.99546, South Africa: -30.55948 22.93751, South Sudan: 7.96309 30.15893, Sudan: 12.86281 30.21764, Sweden: 60.12816 18.64350, Syria: 34.80208 38.99681, Tanzania: -6.36903 34.88882, Togo: 8.61954 0.82478, Tunisia: 33.88692 9.53750, Turkey: 38.96375 35.24332, Turkmenistan: 38.96972 59.55628, Uganda: 1.37333 32.29028, Ukraine: 48.37943 31.16558, Uzbekistan: 41.37749 64.58526, Zambia: -13.13390 27.84933, Zimbabwe: -19.01544 29.15486 ;; Croatia: 45.10000 15.20000, Cyprus: 35.12641 33.42986, Czech Republic: 49.81749 15.47296, Denmark: 56.26392 9.50178, Egypt: 26.82055 30.80250, Eritrea: 15.17938 39.78233, Estonia: 58.59527 25.01361, Ethiopia: 9.14500 40.48967, Finland: 61.92411 25.74815, France: 46.22764 2.21375, Gabon: -0.80369 11.60944, The Gambia: 13.44318 -15.31014, Too many markers for Georgia Germany: 51.16569 10.45153, Ghana: 7.94653 -1.02319, Greece: 39.07421 21.82431, Guinea: 9.94559 -9.69665, Guinea-Bissau: 11.80375 -15.18041, Hungary: 47.16249 19.50330, Iran: 32.42791 53.68805, Iraq: 33.22319 43.67929, Israel: 31.04605 34.85161, Italy: 41.87194 12.56738, Kazakhstan: 48.01957 66.92368, Kenya: -0.02356 37.90619, Kuwait: 29.31166 47.48177, Kyrgyzstan: 41.20438 74.76610, Latvia: 56.87964 24.60319, Too many markers for Lebanon Liberia: 6.42805 -9.42950, Libya: 26.33510 17.22833, Lithuania: 55.16944 23.88127, Macedonia (FYROM): 41.60863 21.74527, Malawi: -13.25431 34.30152, Mali: 17.57069 -3.99617, Malta: 35.93750 14.37542, Mauritania: 21.00789 -10.94083, Moldova: 47.41163 28.36989, Montenegro: 42.70868 19.37439, Mozambique: -18.66569 35.52956, Namibia: -22.95764 18.49041, Nigeria: 9.08200 8.67528, Norway: 60.47202 8.46895, West Bank: 31.94657 35.30272, Poland: 51.91944 19.14514, Romania: 45.94316 24.96676, Russian Federation: 61.52401 105.31876, Russian Federation: 61.52401 105.31876, Russian Federation: 61.52401 105.31876, Rwanda: -1.94028 29.87389, Saudi Arabia: 23.88594 45.07916, Senegal: 14.49740 -14.45236, Serbia: 44.01652 21.00586, Sierra Leone: 8.46055 -11.77989, Slovakia: 48.66903 19.69902, Slovenia: 46.15124 14.99546, South Africa: -30.55948 22.93751, South Sudan: 7.96309 30.15893, Sudan: 12.86281 30.21764, Sweden: 60.12816 18.64350, Syria: 34.80208 38.99681, Tanzania: -6.36903 34.88882, Togo: 8.61954 0.82478, Tunisia: 33.88692 9.53750, Turkey: 38.96375 35.24332, Turkmenistan: 38.96972 59.55628, Uganda: 1.37333 32.29028, Ukraine: 48.37943 31.16558, Uzbekistan: 41.37749 64.58526, Zambia: -13.13390 27.84933, Zimbabwe: -19.01544 29.15486  ",,,,,"Belgium: 50.50389 4.46994, British Indian Ocean Territory: -7.33476 72.42423, India: 20.59368 78.96288, Ireland: 53.41291 -8.24389, Jordan: 30.58516 36.23841, Luxembourg: 49.81527 6.12958, Morocco: 31.79170 -7.09262, Burma: 21.91397 95.95622, Oman: 21.51258 55.92325, Portugal: 39.39987 -8.22445, Seychelles: -4.67957 55.49198, Somalia: 5.15215 46.19962, Spain: 40.46367 -3.74922, Sri Lanka: 7.87305 80.77180, Svalbard and Jan Mayen: 77.55360 23.67027, United Arab Emirates: 23.42408 53.84782, United Kingdom: 55.37805 -3.43597, Yemen: 15.55273 48.51639 ","Afghanistan: 33.93911 67.70995, Austria: 47.51623 14.55007, Equatorial Guinea: 1.65080 10.26789, Liechtenstein: 47.16600 9.55537, Switzerland: 46.81819 8.22751 "
Noble Snipe ,NT,106002995,Gallinago nobilis,AVES,decreasing,"Colombia: 4.57087 -74.29733, Ecuador: -1.83124 -78.18341, Peru: -9.18997 -75.01515, Venezuela: 6.42375 -66.58973 ",,,,,,
"New Britain Rail, Pink-legged Rail ",NT,106002854,Gallirallus insignis,AVES,decreasing,Papua New Guinea: -6.31499 143.95555 ,,,,,,
Rufous-fronted Laughingthrush ,NT,106007779,Garrulax rufifrons,AVES,decreasing,Indonesia: -0.78927 113.92133 ,,,,,,
Bourlon's Genet ,NT,136223,Genetta bourloni,MAMMALIA,decreasing,"Name not unicode cant write Guinea: 9.94559 -9.69665, Liberia: 6.42805 -9.42950, Sierra Leone: 8.46055 -11.77989 ; Guinea: 9.94559 -9.69665, Liberia: 6.42805 -9.42950, Sierra Leone: 8.46055 -11.77989 ",,,,,,
"Crested Quail-dove, Crested Quail-Dove ",NT,106002592,Geotrygon versicolor,AVES,decreasing,Too many markers for Jamaica ,,,,,,
,NT,57820,Glyphoglossus molossus,AMPHIBIA,decreasing,"Cambodia: 12.56568 104.99096, Laos: 19.85627 102.49550, Burma: 21.91397 95.95622, Thailand: 15.87003 100.99254, Vietnam: 14.05832 108.27720 ",,,,,,
Hoary Puffleg ,NT,106002044,Haplophaedia lugens,AVES,decreasing,"Colombia: 4.57087 -74.29733, Ecuador: -1.83124 -78.18341 ",,,,,,
Ward's Trogon ,NT,106001032,Harpactes wardi,AVES,decreasing,"Bhutan: 27.51416 90.43360, China: 35.86166 104.19540, India: 20.59368 78.96288, Burma: 21.91397 95.95622, Vietnam: 14.05832 108.27720 ",,,,,,
"American Harpy Eagle, Harpy Eagle ",NT,106003526,Harpia harpyja,AVES,decreasing,"Argentina: -38.41610 -63.61667, Belize: 17.18988 -88.49765, Bolivia: -16.29015 -63.58865, Brazil: -14.23500 -51.92528, Colombia: 4.57087 -74.29733, Costa Rica: 9.74892 -83.75343, Ecuador: -1.83124 -78.18341, French Guiana: 3.93389 -53.12578, Guatemala: 15.78347 -90.23076, Guyana: 4.86042 -58.93018, Honduras: 15.20000 -86.24191, Argentina: -38.41610 -63.61667, Belize: 17.18988 -88.49765, Bolivia: -16.29015 -63.58865, Brazil: -14.23500 -51.92528, Colombia: 4.57087 -74.29733, Costa Rica: 9.74892 -83.75343, Ecuador: -1.83124 -78.18341, French Guiana: 3.93389 -53.12578, Guatemala: 15.78347 -90.23076, Guyana: 4.86042 -58.93018, Honduras: 15.20000 -86.24191, Too many markers for Mexico Nicaragua: 12.86542 -85.20723, Panama: 8.53798 -80.78213, Paraguay: -23.44250 -58.44383, Peru: -9.18997 -75.01515, Suriname: 3.91931 -56.02778, Venezuela: 6.42375 -66.58973  ",,,,,,
"Black Solitary Eagle, Montane Solitary Eagle, Solitary Eagle ",NT,106003495,Harpyhaliaetus solitarius,AVES,decreasing,"Argentina: -38.41610 -63.61667, Belize: 17.18988 -88.49765, Bolivia: -16.29015 -63.58865, Colombia: 4.57087 -74.29733, Costa Rica: 9.74892 -83.75343, Ecuador: -1.83124 -78.18341, El Salvador: 13.79419 -88.89653, Guatemala: 15.78347 -90.23076, Guyana: 4.86042 -58.93018, Honduras: 15.20000 -86.24191, Argentina: -38.41610 -63.61667, Belize: 17.18988 -88.49765, Bolivia: -16.29015 -63.58865, Colombia: 4.57087 -74.29733, Costa Rica: 9.74892 -83.75343, Ecuador: -1.83124 -78.18341, El Salvador: 13.79419 -88.89653, Guatemala: 15.78347 -90.23076, Guyana: 4.86042 -58.93018, Honduras: 15.20000 -86.24191, Too many markers for Mexico Nicaragua: 12.86542 -85.20723, Panama: 8.53798 -80.78213, Peru: -9.18997 -75.01515, Venezuela: 6.42375 -66.58973  ",,,,,,
Socotran Racer ,NT,199750,Hemerophis socotrae,REPTILIA,unknown,Yemen: 15.55273 48.51639 ,,,,,,
New Zealand Pigeon ,NT,106002749,Hemiphaga novaeseelandiae,AVES,decreasing,New Zealand: -40.90056 174.88597 ,,Norfolk Island: -29.04084 167.95471 ,,,,
Himalayan Tahr ,NT,9919,Hemitragus jemlahicus,MAMMALIA,decreasing,"China: 35.86166 104.19540, India: 20.59368 78.96288, Nepal: 28.39486 84.12401 ",,,,"New Zealand: -40.90056 174.88597, South Africa: -30.55948 22.93751 ",,
,NT,56104,Heterixalus rutenbergi,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911 ,,,,,,
"Commerson's Leaf-nosed Bat, Commerson's Roundleaf Bat ",NT,10120,Hipposideros commersoni,MAMMALIA,unknown,Madagascar: -18.76695 46.86911 ,,,,,,
"Large Asian Leaf-nosed Bat, Large Asian Roundleaf Bat ",NT,10144,Hipposideros lekaguli,MAMMALIA,decreasing,"Malaysia: 4.21048 101.97577, Philippines: 12.87972 121.77402, Thailand: 15.87003 100.99254 ",,,,,,
,NT,135485,Hipposideros vittatus,MAMMALIA,decreasing,"Angola: -11.20269 17.87389, Botswana: -22.32847 24.68487, Central African Republic: 6.61111 20.93944, Democratic Republic of the Congo: -4.03833 21.75866, Ethiopia: 9.14500 40.48967, Guinea: 9.94559 -9.69665, Kenya: -0.02356 37.90619, Malawi: -13.25431 34.30152, Mozambique: -18.66569 35.52956, Namibia: -22.95764 18.49041, Nigeria: 9.08200 8.67528, Somalia: 5.15215 46.19962, South Africa: -30.55948 22.93751, Tanzania: -6.36903 34.88882, Zambia: -13.13390 27.84933, Zimbabwe: -19.01544 29.15486 ",,,,,,
Brown Hyaena ,NT,10276,Hyaena brunnea,MAMMALIA,decreasing,"Angola: -11.20269 17.87389, Botswana: -22.32847 24.68487, Lesotho: -29.60999 28.23361, Mozambique: -18.66569 35.52956, Namibia: -22.95764 18.49041, South Africa: -30.55948 22.93751, Zimbabwe: -19.01544 29.15486 ",,,,,,
Striped Hyaena ,NT,10274,Hyaena hyaena,MAMMALIA,decreasing,"Algeria: 28.03389 1.65963, Armenia: 40.06910 45.03819, Azerbaijan: 40.14310 47.57693, Burkina Faso: 12.23833 -1.56159, Cameroon: 7.36972 12.35472, Chad: 15.45417 18.73221, Djibouti: 11.82514 42.59027, Egypt: 26.82055 30.80250, Ethiopia: 9.14500 40.48967, Algeria: 28.03389 1.65963, Armenia: 40.06910 45.03819, Azerbaijan: 40.14310 47.57693, Burkina Faso: 12.23833 -1.56159, Cameroon: 7.36972 12.35472, Chad: 15.45417 18.73221, Djibouti: 11.82514 42.59027, Egypt: 26.82055 30.80250, Ethiopia: 9.14500 40.48967, Too many markers for Georgia India: 20.59368 78.96288, Iran: 32.42791 53.68805, Iraq: 33.22319 43.67929, Israel: 31.04605 34.85161, Jordan: 30.58516 36.23841, Kenya: -0.02356 37.90619, Too many markers for Lebanon Libya: 26.33510 17.22833, Mali: 17.57069 -3.99617, Mauritania: 21.00789 -10.94083, Morocco: 31.79170 -7.09262, Nepal: 28.39486 84.12401, Niger: 17.60779 8.08167, Nigeria: 9.08200 8.67528, Oman: 21.51258 55.92325, Saudi Arabia: 23.88594 45.07916, Senegal: 14.49740 -14.45236, Tajikistan: 38.86103 71.27609, Tanzania: -6.36903 34.88882, Tunisia: 33.88692 9.53750, Turkey: 38.96375 35.24332, Turkmenistan: 38.96972 59.55628, Uzbekistan: 41.37749 64.58526, Western Sahara: 24.21553 -12.88583, Yemen: 15.55273 48.51639  ","Kuwait: 29.31166 47.48177, Qatar: 25.35483 51.18388, United Arab Emirates: 23.42408 53.84782 ",,,,,
,NT,184949,Iberus alonensis,GASTROPODA,unknown,Spain: 40.46367 -3.74922 ,,,,,,
,NT,184951,Iberus carthaginiensis,GASTROPODA,unknown,Spain: 40.46367 -3.74922 ,,,,,,
Yellow-rumped Honeyguide ,NT,100600531,Indicator xanthonotus,AVES,decreasing,"Bhutan: 27.51416 90.43360, China: 35.86166 104.19540, India: 20.59368 78.96288, Burma: 21.91397 95.95622, Nepal: 28.39486 84.12401, Pakistan: 30.37532 69.34512 ",,,,,,
,NT,57853,Kaloula mediolineata,AMPHIBIA,decreasing,"Laos: 19.85627 102.49550, Thailand: 15.87003 100.99254, Vietnam: 14.05832 108.27720 ",,,,,,
Puku ,NT,11037,Kobus vardonii,MAMMALIA,decreasing,"Angola: -11.20269 17.87389, Botswana: -22.32847 24.68487, Democratic Republic of the Congo: -4.03833 21.75866, Malawi: -13.25431 34.30152, Tanzania: -6.36903 34.88882, Zambia: -13.13390 27.84933 ",,,,,,
Inca Tern ,NT,106003300,Larosterna inca,AVES,decreasing,"Chile: -35.67515 -71.54297, Colombia: 4.57087 -74.29733, Ecuador: -1.83124 -78.18341, Peru: -9.18997 -75.01515 ",,,,,Panama: 8.53798 -80.78213 ,
Heermann's Gull ,NT,106003213,Larus heermanni,AVES,increasing,"Canada: 56.13037 -106.34677, Canada: 56.13037 -106.34677, Too many markers for Mexico United States: 37.09024 -95.71289  ",,,,,"Costa Rica: 9.74892 -83.75343, Guatemala: 15.78347 -90.23076 ",
White-eyed Gull ,NT,106003214,Larus leucophthalmus,AVES,stable,"Djibouti: 11.82514 42.59027, Egypt: 26.82055 30.80250, Eritrea: 15.17938 39.78233, Israel: 31.04605 34.85161, Jordan: 30.58516 36.23841, Saudi Arabia: 23.88594 45.07916, Somalia: 5.15215 46.19962, Sudan: 12.86281 30.21764, Yemen: 15.55273 48.51639 ",,Kenya: -0.02356 37.90619 ,,,"Greece: 39.07421 21.82431, Iran: 32.42791 53.68805, Maldives: 1.97725 73.53610, Oman: 21.51258 55.92325, Turkey: 38.96375 35.24332, United Arab Emirates: 23.42408 53.84782 ",
Ring-tailed Lemur ,NT,11496,Lemur catta,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911 ,,,,,,
"Chilean Pampa Cat, Pampas Cat ",NT,15309,Leopardus colocolo,MAMMALIA,decreasing,"Argentina: -38.41610 -63.61667, Bolivia: -16.29015 -63.58865, Brazil: -14.23500 -51.92528, Chile: -35.67515 -71.54297, Ecuador: -1.83124 -78.18341, Paraguay: -23.44250 -58.44383, Peru: -9.18997 -75.01515, Uruguay: -32.52278 -55.76584 ",,,,,,
Geoffroy's Cat ,NT,15310,Leopardus geoffroyi,MAMMALIA,decreasing,"Argentina: -38.41610 -63.61667, Bolivia: -16.29015 -63.58865, Brazil: -14.23500 -51.92528, Chile: -35.67515 -71.54297, Paraguay: -23.44250 -58.44383, Uruguay: -32.52278 -55.76584 ",,,,,,
"Margay, Tree Ocelot ",NT,11511,Leopardus wiedii,MAMMALIA,decreasing,"Argentina: -38.41610 -63.61667, Belize: 17.18988 -88.49765, Bolivia: -16.29015 -63.58865, Brazil: -14.23500 -51.92528, Colombia: 4.57087 -74.29733, Costa Rica: 9.74892 -83.75343, Ecuador: -1.83124 -78.18341, El Salvador: 13.79419 -88.89653, French Guiana: 3.93389 -53.12578, Guatemala: 15.78347 -90.23076, Guyana: 4.86042 -58.93018, Honduras: 15.20000 -86.24191, Argentina: -38.41610 -63.61667, Belize: 17.18988 -88.49765, Bolivia: -16.29015 -63.58865, Brazil: -14.23500 -51.92528, Colombia: 4.57087 -74.29733, Costa Rica: 9.74892 -83.75343, Ecuador: -1.83124 -78.18341, El Salvador: 13.79419 -88.89653, French Guiana: 3.93389 -53.12578, Guatemala: 15.78347 -90.23076, Guyana: 4.86042 -58.93018, Honduras: 15.20000 -86.24191, Too many markers for Mexico Nicaragua: 12.86542 -85.20723, Panama: 8.53798 -80.78213, Paraguay: -23.44250 -58.44383, Peru: -9.18997 -75.01515, Suriname: 3.91931 -56.02778, Uruguay: -32.52278 -55.76584, Venezuela: 6.42375 -66.58973  ",,,,,,
,NT,57138,Leptodactylus laticeps,AMPHIBIA,decreasing,"Argentina: -38.41610 -63.61667, Bolivia: -16.29015 -63.58865, Paraguay: -23.44250 -58.44383 ",,,,,,
White-sided Jackrabbit ,NT,11792,Lepus callotis,MAMMALIA,decreasing,Too many markers for Mexico United States: 37.09024 -95.71289  ,,,,,,
"Yarkand Hare, Yarkland Hare ",NT,11796,Lepus yarkandensis,MAMMALIA,decreasing,China: 35.86166 104.19540 ,,,,,,
"Asian Dowitcher, Asiatic Dowitcher ",NT,106003038,Limnodromus semipalmatus,AVES,decreasing,"Australia: -25.27440 133.77514, Bangladesh: 23.68499 90.35633, Brunei Darussalam: 4.53528 114.72767, Cambodia: 12.56568 104.99096, China: 35.86166 104.19540, Hong Kong: 22.39643 114.10950, India: 20.59368 78.96288, Indonesia: -0.78927 113.92133, Japan: 36.20482 138.25292, Kazakhstan: 48.01957 66.92368, North Korea: 40.33985 127.51009, South Korea: 35.90776 127.76692, Malaysia: 4.21048 101.97577, Mongolia: 46.86250 103.84666, Burma: 21.91397 95.95622, New Zealand: -40.90056 174.88597, Papua New Guinea: -6.31499 143.95555, Philippines: 12.87972 121.77402, Russian Federation: 61.52401 105.31876, Russian Federation: 61.52401 105.31876, Singapore: 1.35208 103.81984, Taiwan: 23.69781 120.96052, Thailand: 15.87003 100.99254, Timor-Leste: -8.87422 125.72754, Uzbekistan: 41.37749 64.58526, Vietnam: 14.05832 108.27720 ",,,,,"Kenya: -0.02356 37.90619, Sri Lanka: 7.87305 80.77180, Yemen: 15.55273 48.51639 ",
