Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Possibly Extinct,Regionally Extinct,Reintroduced,Introduced,Vagrant,Present origin uncertain
Chinhai Spiny Newt ,CR,59447,Echinotriton chinhaiensis,AMPHIBIA,decreasing,China: 35.86166 104.19540 ,,,,,,
"African Ass, African Wild Ass, Ass ",CR,7949,Equus africanus,MAMMALIA,decreasing,"Eritrea: 15.17938 39.78233, Ethiopia: 9.14500 40.48967, Somalia: 5.15215 46.19962 ",,,,,,
"Blue-eyed Black Lemur, Sclater's Black Lemur, Common name not unicode ",CR,8211,Eulemur flavifrons,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911 ,,,,,,
"White-eyed River-martin, White-eyed River-Martin ",CR,106007077,Eurochelidon sirintarae,AVES,decreasing,Thailand: 15.87003 100.99254 ,,,,,,
,CR,176204,Eurydactylodes occidentalis,REPTILIA,decreasing,New Caledonia: -20.90431 165.61804 ,,,,,,
"Spoon-billed Sandpiper, Spoonbill Sandpiper ",CR,106003060,Eurynorhynchus pygmeus,AVES,decreasing,"Bangladesh: 23.68499 90.35633, China: 35.86166 104.19540, Hong Kong: 22.39643 114.10950, India: 20.59368 78.96288, Japan: 36.20482 138.25292, North Korea: 40.33985 127.51009, South Korea: 35.90776 127.76692, Malaysia: 4.21048 101.97577, Burma: 21.91397 95.95622, Philippines: 12.87972 121.77402, Russian Federation: 61.52401 105.31876, Singapore: 1.35208 103.81984, Sri Lanka: 7.87305 80.77180, Taiwan: 23.69781 120.96052, Thailand: 15.87003 100.99254, Vietnam: 14.05832 108.27720 ",,,,,"Canada: 56.13037 -106.34677, United States: 37.09024 -95.71289 ",
"Caerulean Paradise-flycatcher, Cerulean Paradise-flycatcher, Cerulean Paradise Flycatcher, Cerulean Paradise-Flycatcher, Rowley's Flycatcher ",CR,106006062,Eutrichomyias rowleyi,AVES,decreasing,Indonesia: -0.78927 113.92133 ,,,,,,
"Djibouti Francolin, Ochre-breasted Francolin, Pale-bellied Francolin, Tadjoura Francolin ",CR,100600181,Francolinus ochropectus,AVES,decreasing,Djibouti: 11.82514 42.59027 ,,,,,,
"Andrews' Frigatebird, Christmas Frigatebird, Christmas Island Frigatebird ",CR,106003847,Fregata andrewsi,AVES,decreasing,"Brunei Darussalam: 4.53528 114.72767, Cambodia: 12.56568 104.99096, China: 35.86166 104.19540, Christmas Island: -10.44753 105.69045, Hong Kong: 22.39643 114.10950, Indonesia: -0.78927 113.92133, Malaysia: 4.21048 101.97577, Philippines: 12.87972 121.77402, Singapore: 1.35208 103.81984, Sri Lanka: 7.87305 80.77180, Thailand: 15.87003 100.99254, Timor-Leste: -8.87422 125.72754 ",,,,,"Australia: -25.27440 133.77514, Australia: -25.27440 133.77514, Too many markers for Cocos India: 20.59368 78.96288, Japan: 36.20482 138.25292, Vietnam: 14.05832 108.27720  ",
Belalanda Chameleon ,CR,172740,Furcifer belalandaensis,REPTILIA,decreasing,Madagascar: -18.76695 46.86911 ,,,,,,
"Polynesian Ground-dove, Polynesian Ground Dove, Polynesian Ground-Dove, Society Islands Ground-dove, White-collared Ground-dove ",CR,106002614,Gallicolumba erythroptera,AVES,decreasing,French Polynesia: -17.67974 -149.40684 ,,,,,,
Negros Bleeding-heart ,CR,106002607,Gallicolumba keayi,AVES,decreasing,Philippines: 12.87972 121.77402 ,,,,,,
"Sulu Bleeding-heart, Tawitawi Bleeding-heart ",CR,106002609,Gallicolumba menagei,AVES,decreasing,Philippines: 12.87972 121.77402 ,,,,,,
Mindoro Bleeding-heart ,CR,106002606,Gallicolumba platenae,AVES,decreasing,Philippines: 12.87972 121.77402 ,,,,,,
Samoan Moorhen ,CR,106002933,Gallinula pacifica,AVES,unknown,,Samoa: -13.75903 -172.10463 ,,,,,
"Makira Moorhen, Makira Woodhen, San Cristobal Moorhen, San Cristobal Mountain Rail ",CR,106002934,Gallinula silvestris,AVES,unknown,Solomon Islands: -9.64571 160.15619 ,,,,,,
Blue-crowned Laughingthrush ,CR,160031659,Garrulax courtoisi,AVES,decreasing,China: 35.86166 104.19540 ,,,,,,
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp ",CR,106003791,Geronticus eremita,AVES,decreasing,"Algeria: 28.03389 1.65963, Eritrea: 15.17938 39.78233, Jordan: 30.58516 36.23841, Mauritania: 21.00789 -10.94083, Morocco: 31.79170 -7.09262, Saudi Arabia: 23.88594 45.07916, Syria: 34.80208 38.99681, Yemen: 15.55273 48.51639 ",Iraq: 33.22319 43.67929 ,"Ethiopia: 9.14500 40.48967, Israel: 31.04605 34.85161, Senegal: 14.49740 -14.45236, Sudan: 12.86281 30.21764 ",Turkey: 38.96375 35.24332 ,,"Cape Verde: 15.12173 -23.60508, Germany: 51.16569 10.45153, Mali: 17.57069 -3.99617, Montenegro: 42.70868 19.37439, Portugal: 39.39987 -8.22445, Serbia: 44.01652 21.00586, Somalia: 5.15215 46.19962, Spain: 40.46367 -3.74922, Western Sahara: 24.21553 -12.88583 ",
"Pernambuco Pygmy-owl, Pernambuco Pygmy Owl, Pernambuco Pygmy-Owl ",CR,160031932,Glaucidium mooreorum,AVES,decreasing,Brazil: -14.23500 -51.92528 ,,,,,,
Bog Turtle ,CR,4967,Glyptemys muhlenbergii,REPTILIA,unknown,United States: 37.09024 -95.71289 ,,,,,,
"Grenadines Clawed Gecko, Union Island Gecko ",CR,194258,Gonatodes daudini,REPTILIA,stable,Saint Vincent and the Grenadines: 13.25338 -61.19625 ,,,,,,
