Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native
"Hoolock Gibbon, Western Hoolock, Western Hoolock Gibbon",EN,39876,Hoolock hoolock,MAMMALIA,decreasing,Bangladesh: 23.68499 90.35633
Greater Adjutant,EN,106003842,Leptoptilos dubius,AVES,decreasing,Bangladesh: 23.68499 90.35633
Chinese Pangolin,EN,12764,Manis pentadactyla,MAMMALIA,decreasing,Bangladesh: 23.68499 90.35633
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Bangladesh: 23.68499 90.35633
Fishing Cat,EN,18150,Prionailurus viverrinus,MAMMALIA,decreasing,Bangladesh: 23.68499 90.35633
Black-bellied Tern,EN,106003284,Sterna acuticauda,AVES,decreasing,Bangladesh: 23.68499 90.35633
"Phayre's Langur,  Phayre's Leaf Monkey",EN,22040,Trachypithecus phayrei,MAMMALIA,decreasing,Bangladesh: 23.68499 90.35633
"Nordmann's Greenshank,  Spotted Greenshank",EN,106003020,Tringa guttifer,AVES,decreasing,Bangladesh: 23.68499 90.35633
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Belarus: 53.70981 27.95339
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Belgium: 50.50389 4.46994
"La Plata Otter, Long-tailed Otter, Neotropical Otter, Neotropical River Otter, South American River Otter",DD,12304,Lontra longicaudis,MAMMALIA,decreasing,Belize: 17.18988 -88.49765
Central American Red Brocket,DD,136290,Mazama temama,MAMMALIA,decreasing,Belize: 17.18988 -88.49765
"Black Howling Monkey, Guatemalan Black Howler Monkey, Guatemalan Howler, Guatemalan Howling Monkey,  Mexican Black Howler Monkey",EN,914,Alouatta pigra,MAMMALIA,decreasing,Belize: 17.18988 -88.49765
"Yellow-headed Amazon, Yellow-headed Parrot",EN,106001679,Amazona oratrix,AVES,decreasing,Belize: 17.18988 -88.49765
"Black-handed Spider Monkey, Central American Spider Monkey, Geoffroy's Spider Monkey,  Mono Colorado",EN,2279,Ateles geoffroyi,MAMMALIA,decreasing,Belize: 17.18988 -88.49765
"Baird's Tapir, Central American Tapir",EN,21471,Tapirus bairdii,MAMMALIA,decreasing,Belize: 17.18988 -88.49765
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Benin: 9.30769 2.31583
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Benin: 9.30769 2.31583
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Benin: 9.30769 2.31583
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Benin: 9.30769 2.31583
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Benin: 9.30769 2.31583
"Imperial Heron, White-bellied Heron",CR,106003723,Ardea insignis,AVES,decreasing,Bhutan: 27.51416 90.43360
"Asian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture, White-rumped Vulture",CR,106003374,Gyps bengalensis,AVES,decreasing,Bhutan: 27.51416 90.43360
Hairy-footed Flying Squirrel,DD,2756,Belomys pearsonii,MAMMALIA,unknown,Bhutan: 27.51416 90.43360
"Hog Deer, Indochinese Hog Deer, Thai Hog Deer",EN,41784,Axis porcinus,MAMMALIA,decreasing,Bhutan: 27.51416 90.43360
"Asian Buffalo, Asiatic Buffalo, Indian Buffalo, Indian Water Buffalo, Water Buffalo, Wild Asian Buffalo, Wild Water Buffalo",EN,3129,Bubalus arnee,MAMMALIA,decreasing,Bhutan: 27.51416 90.43360
"Asiatic Wild Dog, Dhole, Indian Wild Dog, Red Dog",EN,5953,Cuon alpinus,MAMMALIA,decreasing,Bhutan: 27.51416 90.43360
"Asian Elephant, Indian Elephant",EN,7140,Elephas maximus,MAMMALIA,decreasing,Bhutan: 27.51416 90.43360
Chinese Pangolin,EN,12764,Manis pentadactyla,MAMMALIA,decreasing,Bhutan: 27.51416 90.43360
"Alpine Musk Deer, Himalayan Musk Deer",EN,13895,Moschus chrysogaster,MAMMALIA,decreasing,Bhutan: 27.51416 90.43360
"Black Musk Deer, Dusky Musk Deer",EN,13896,Moschus fuscus,MAMMALIA,decreasing,Bhutan: 27.51416 90.43360
"Himalayan Muskdeer, Himalayan Musk-deer, Himalayan Musk Deer",EN,13901,Moschus leucogaster,MAMMALIA,decreasing,Bhutan: 27.51416 90.43360
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Bhutan: 27.51416 90.43360
"Ounce, Snow Leopard",EN,22732,Panthera uncia,MAMMALIA,decreasing,Bhutan: 27.51416 90.43360
Fishing Cat,EN,18150,Prionailurus viverrinus,MAMMALIA,decreasing,Bhutan: 27.51416 90.43360
"Gee's Golden Langur,  Golden Leaf Monkey",EN,22037,Trachypithecus geei,MAMMALIA,decreasing,Bhutan: 27.51416 90.43360
Blue-throated Macaw,CR,106001548,Ara glaucogularis,AVES,stable,Bolivia: -16.29015 -63.58865
Siau Island Tarsier,CR,57339,Telmatobius gigas,AMPHIBIA,decreasing,Bolivia: -16.29015 -63.58865
"Burmeister's Armadillo, Chacoan Fairy Armadillo, Greater Fairy Armadillo, Greater Pichi Ciego",DD,4703,Calyptophractus retusus,MAMMALIA,unknown,Bolivia: -16.29015 -63.58865
Gerlepp's Mouse,DD,8827,Galenomys garleppi,MAMMALIA,unknown,Bolivia: -16.29015 -63.58865
"La Plata Otter, Long-tailed Otter, Neotropical Otter, Neotropical River Otter, South American River Otter",DD,12304,Lontra longicaudis,MAMMALIA,decreasing,Bolivia: -16.29015 -63.58865
Red Brocket,DD,29619,Mazama americana,MAMMALIA,unknown,Bolivia: -16.29015 -63.58865
Hyacinth Macaw,EN,106001543,Anodorhynchus hyacinthinus,AVES,decreasing,Bolivia: -16.29015 -63.58865
Red-fronted Macaw,EN,106001553,Ara rubrogenys,AVES,decreasing,Bolivia: -16.29015 -63.58865
"Black-faced Black Spider Monkey, Chamek Spider Monkey, Peruvian Black Spider Monkey",EN,41547,Ateles chamek,MAMMALIA,decreasing,Bolivia: -16.29015 -63.58865
"Beni Titi Monkey,  Olalla's Titi,  Ollala Brothers' Titi",EN,3554,Callicebus olallae,MAMMALIA,decreasing,Bolivia: -16.29015 -63.58865
"Chacoan Peccary, Tagua",EN,4015,Catagonus wagneri,MAMMALIA,decreasing,Bolivia: -16.29015 -63.58865
"Cochabamba Mountain-finch, Cochabamba Mountain-Finch",EN,106009500,Compsospiza garleppi,AVES,decreasing,Bolivia: -16.29015 -63.58865
