Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Botswana,-22.32847,24.68487,,,,,,,,,,,,,,,,,,
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Botswana,-22.32847,24.68487,,,,,,,,,,,,,,,,,,
"Purple-barred Ground-dove, Purple-winged Ground-dove, Purple-winged Ground Dove, Purple-winged Ground-Dove",CR,106002571,Claravis geoffroyi,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Tristan Albatross,CR,160030013,Diomedea dabbenena,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Pernambuco Pygmy-owl, Pernambuco Pygmy Owl, Pernambuco Pygmy-Owl",CR,160031932,Glaucidium mooreorum,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Gray-breasted Parakeet, Grey-breasted Parakeet",CR,160032204,Pyrrhura griseipectus,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Red-browed Amazon, Red-browed Parrot, Red-topped Amazon, Red-topped Parrot",EN,106001673,Amazona rhodocorytha,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Vinaceous Amazon, Vinaceous-breasted Amazon, Vinaceous-breasted Parrot, Vinaceous Parrot",EN,106001686,Amazona vinacea,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Hyacinth Macaw,EN,106001543,Anodorhynchus hyacinthinus,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Sun Parakeet,EN,106001572,Aratinga solstitialis,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
