Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
"Banteng, Tembadau",EN,2888,Bos javanicus,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Asian Buffalo, Asiatic Buffalo, Indian Buffalo, Indian Water Buffalo, Water Buffalo, Wild Asian Buffalo, Wild Water Buffalo",EN,3129,Bubalus arnee,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Asiatic Wild Dog, Dhole, Indian Wild Dog, Red Dog",EN,5953,Cuon alpinus,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Asian Elephant, Indian Elephant",EN,7140,Elephas maximus,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Hoolock Gibbon, Western Hoolock, Western Hoolock Gibbon",EN,39876,Hoolock hoolock,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Common Gibbon, Lar Gibbon, White-handed Gibbon",EN,10548,Hylobates lar,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Malayan Pangolin, Sunda Pangolin",EN,12763,Manis javanica,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
Chinese Pangolin,EN,12764,Manis pentadactyla,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Black Musk Deer, Dusky Musk Deer",EN,13896,Moschus fuscus,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
Fishing Cat,EN,18150,Prionailurus viverrinus,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Brow-antlered Deer, Eld's Deer, Thamin",EN,4265,Rucervus eldii,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Asian Tapir, Indian Tapir, Malayan Tapir, Malay Tapir",EN,21472,Tapirus indicus,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Indochinese Lutung, Indochinese Silvered Langur",EN,39874,Trachypithecus germaini,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Phayre's Langur,  Phayre's Leaf Monkey",EN,22040,Trachypithecus phayrei,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
blank,EN,39869,Trachypithecus shortridgei,MAMMALIA,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,Burundi,-3.37306,29.91889,,,,,,,,,,,,,,,,,,
"Hog Deer, Indochinese Hog Deer, Thai Hog Deer",EN,41784,Axis porcinus,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Banteng, Tembadau",EN,2888,Bos javanicus,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Asian Buffalo, Asiatic Buffalo, Indian Buffalo, Indian Water Buffalo, Water Buffalo, Wild Asian Buffalo, Wild Water Buffalo",EN,3129,Bubalus arnee,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Asiatic Wild Dog, Dhole, Indian Wild Dog, Red Dog",EN,5953,Cuon alpinus,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Asian Elephant, Indian Elephant",EN,7140,Elephas maximus,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Capped Gibbon, Crowned Gibbon, Pileated Gibbon",EN,10552,Hylobates pileatus,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
Hairy-nosed Otter,EN,12421,Lutra sumatrana,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Malayan Pangolin, Sunda Pangolin",EN,12763,Manis javanica,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Giant Muntjac, Large-antlered Muntjac",EN,44703,Muntiacus vuquangensis,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Buff-cheeked Gibbon, Buffy-cheeked Gibbon, Red-cheeked Gibbon, Yellow-cheeked Crested Gibbon",EN,39776,Nomascus gabriellae,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
Fishing Cat,EN,18150,Prionailurus viverrinus,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
